ideal,curve,encrypted_curve

0,1.2115428087737799e-09,-6.783039758280212e-12
0,3.9944501478714274e-45,-6.572358713052215e-12
0,6.039003442615692e-08,-9.189915887918186e-12
0,5.437946135807264e-16,-1.0632080078524267e-11
0,1.9047140470474427e-05,-1.8818344537355648e-11
0,5.527266880074016e-62,-1.8261823280951975e-11
0,3.525788473083351e-05,7.294527864790257e-12
0,1.2837743772114178e-26,-2.423975061870624e-11
0,4.2138199999024154e-23,-1.2742699449365163e-11
0,6.0859993768689204e-21,-1.6444064879365056e-11
