Plain STL setup: 0.002584695816040039
Cipher STL setup time: 10.920674324035645
Cipher tick time: 0 2740.069990873337
Plain tick time: 0 0.006176948547363281
Cipher tick time: 1 2730.044610977173
Plain tick time: 1 0.006237983703613281
Cipher tick time: 2 2667.9431478977203
Plain tick time: 2 0.007947444915771484
Cipher tick time: 3 2510.4430165290833
Plain tick time: 3 0.0020568370819091797
Cipher tick time: 4 2517.0533435344696
Plain tick time: 4 0.0012145042419433594
Cipher tick time: 5 2706.3583285808563
Plain tick time: 5 0.009735345840454102
Cipher tick time: 6 2856.169085264206
Plain tick time: 6 0.005023002624511719
Cipher tick time: 7 2731.412796020508
Plain tick time: 7 0.003970623016357422
Cipher tick time: 8 2801.2137792110443
Plain tick time: 8 0.008114814758300781
Cipher tick time: 9 2504.692581176758
Plain tick time: 9 0.0059812068939208984
0.09756684353599368
