Plain STL setup: 0.004184246063232422
Cipher STL setup time: 5.751810789108276
Cipher tick time: 0 1313.8912856578827
Plain tick time: 0 0.0019447803497314453
Cipher tick time: 1 1166.6336798667908
Plain tick time: 1 0.0006873607635498047
Cipher tick time: 2 1248.0978419780731
Plain tick time: 2 0.001405477523803711
Cipher tick time: 3 1239.9084930419922
Plain tick time: 3 0.0009400844573974609
Cipher tick time: 4 1076.4040923118591
Plain tick time: 4 0.0007405281066894531
Cipher tick time: 5 1213.5827445983887
Plain tick time: 5 0.0009016990661621094
Cipher tick time: 6 1213.336233139038
Plain tick time: 6 0.0009262561798095703
Cipher tick time: 7 1214.4272515773773
Plain tick time: 7 0.0007944107055664062
Cipher tick time: 8 1212.5450880527496
Plain tick time: 8 0.0007710456848144531
Cipher tick time: 9 1212.9370515346527
Plain tick time: 9 0.0007126331329345703
6.144613221965543e-09
Plain STL setup: 0.0027632713317871094
Cipher STL setup time: 5.7330920696258545
Cipher tick time: 0 1216.1770997047424
Plain tick time: 0 0.002021312713623047
Cipher tick time: 1 1226.3328120708466
Plain tick time: 1 0.0008227825164794922
Cipher tick time: 2 1193.6759865283966
Plain tick time: 2 0.0007894039154052734
Cipher tick time: 3 1187.176587343216
Plain tick time: 3 0.0009100437164306641
Cipher tick time: 4 1195.4008843898773
Plain tick time: 4 0.0007061958312988281
Cipher tick time: 5 1205.9279568195343
Plain tick time: 5 0.0006580352783203125
Cipher tick time: 6 1207.5938231945038
Plain tick time: 6 0.0006716251373291016
Cipher tick time: 7 1207.8992681503296
Plain tick time: 7 0.0009264945983886719
Cipher tick time: 8 1288.1903789043427
Plain tick time: 8 0.001897573471069336
Cipher tick time: 9 1298.2295956611633
Plain tick time: 9 0.0009293556213378906
0.01279866015075324
Plain STL setup: 0.0034761428833007812
Cipher STL setup time: 5.969927072525024
Cipher tick time: 0 1359.7086124420166
Plain tick time: 0 0.0015044212341308594
Cipher tick time: 1 1294.2653503417969
Plain tick time: 1 0.001081705093383789
Cipher tick time: 2 1269.7844219207764
Plain tick time: 2 0.0010263919830322266
Cipher tick time: 3 1285.1711757183075
Plain tick time: 3 0.0009665489196777344
Cipher tick time: 4 1322.7152762413025
Plain tick time: 4 0.0009281635284423828
Cipher tick time: 5 1265.8384857177734
Plain tick time: 5 0.0007469654083251953
Cipher tick time: 6 1276.73898935318
Plain tick time: 6 0.0008151531219482422
Cipher tick time: 7 1276.2392356395721
Plain tick time: 7 0.0007636547088623047
Cipher tick time: 8 1310.292659521103
Plain tick time: 8 0.000827789306640625
Cipher tick time: 9 1308.9964053630829
Plain tick time: 9 0.0008304119110107422
0.0195167520195805821
Plain STL setup: 0.004100799560546875
Cipher STL setup time: 7.478336811065674
Cipher tick time: 0 1338.3016545772552
Plain tick time: 0 0.0016939640045166016
Cipher tick time: 1 1296.0998711585999
Plain tick time: 1 0.0007586479187011719
Cipher tick time: 2 1300.1817209720612
Plain tick time: 2 0.0011889934539794922
Cipher tick time: 3 1268.2443397045135
Plain tick time: 3 0.0016851425170898438
Cipher tick time: 4 1243.6025278568268
Plain tick time: 4 0.0007202625274658203
Cipher tick time: 5 1243.4252274036407
Plain tick time: 5 0.0007059574127197266
Cipher tick time: 6 1245.8747618198395
Plain tick time: 6 0.0007021427154541016
Cipher tick time: 7 1158.1248807907104
Plain tick time: 7 0.0006673336029052734
Cipher tick time: 8 1145.5502853393555
Plain tick time: 8 0.0006449222564697266
Cipher tick time: 9 1145.4656383991241
Plain tick time: 9 0.0006875991821289062
0.002651016860144085
Plain STL setup: 0.0029685497283935547
Cipher STL setup time: 6.3423848152160645
Cipher tick time: 0 1288.6024057865143
Plain tick time: 0 0.002438783645629883
Cipher tick time: 1 1169.2036967277527
Plain tick time: 1 0.0007998943328857422
Cipher tick time: 2 1149.3999660015106
Plain tick time: 2 0.0007359981536865234
Cipher tick time: 3 1153.624589920044
Plain tick time: 3 0.001039743423461914
Cipher tick time: 4 1145.1687724590302
Plain tick time: 4 0.0006244182586669922
Cipher tick time: 5 1182.0138704776764
Plain tick time: 5 0.000762939453125
Cipher tick time: 6 1203.6560425758362
Plain tick time: 6 0.002182483673095703
Cipher tick time: 7 1189.0085082054138
Plain tick time: 7 0.000782012939453125
Cipher tick time: 8 1173.885406255722
Plain tick time: 8 0.0007827281951904297
Cipher tick time: 9 1193.5146834850311
Plain tick time: 9 0.0006263256072998047
0.00166402921326264597
Plain STL setup: 0.004164695739746094
Cipher STL setup time: 6.312082529067993
Cipher tick time: 0 1219.8190956115723
Plain tick time: 0 0.0013794898986816406
Cipher tick time: 1 1222.1757545471191
Plain tick time: 1 0.0013918876647949219
Cipher tick time: 2 1143.2609691619873
Plain tick time: 2 0.0015060901641845703
Cipher tick time: 3 1298.0560657978058
Plain tick time: 3 0.0008034706115722656
Cipher tick time: 4 1273.987117767334
Plain tick time: 4 0.0010104179382324219
Cipher tick time: 5 1281.2684032917023
Plain tick time: 5 0.0007174015045166016
Cipher tick time: 6 1188.4321377277374
Plain tick time: 6 0.0006465911865234375
Cipher tick time: 7 1229.5908324718475
Plain tick time: 7 0.0008835792541503906
Cipher tick time: 8 1223.0162937641144
Plain tick time: 8 0.0006632804870605469
Cipher tick time: 9 1211.7450256347656
Plain tick time: 9 0.0007529258728027344
9.404783612160128e-05
