Plain STL setup: 0.002864837646484375
Cipher STL setup time: 5.707522630691528
Cipher tick time: 0 1334.3977856636047
Plain tick time: 0 0.0027158260345458984
Cipher tick time: 1 1231.000007390976
Plain tick time: 1 0.0009765625
Cipher tick time: 2 1423.0545461177826
Plain tick time: 2 0.0013260841369628906
Cipher tick time: 3 1457.7165162563324
Plain tick time: 3 0.0018568038940429688
Cipher tick time: 4 1272.658131122589
Plain tick time: 4 0.0010287761688232422
Cipher tick time: 5 1252.9335153102875
Plain tick time: 5 0.0010673999786376953
Cipher tick time: 6 1296.6120274066925
Plain tick time: 6 0.0008182525634765625
Cipher tick time: 7 1291.8336384296417
Plain tick time: 7 0.0008215904235839844
Cipher tick time: 8 1291.0364818572998
Plain tick time: 8 0.0010268688201904297
Cipher tick time: 9 1296.4576015472412
Plain tick time: 9 0.0008442401885986328
1.2413354383379715e-10
