Plain STL setup: 0.0031309127807617188
Cipher STL setup time: 5.362801551818848
Cipher tick time: 0 1184.0042107105255
Plain tick time: 0 0.0012030601501464844
Cipher tick time: 1 1155.2197470664978
Plain tick time: 1 0.0011920928955078125
Cipher tick time: 2 1102.0352132320404
Plain tick time: 2 0.00077056884765625
Cipher tick time: 3 1136.5468201637268
Plain tick time: 3 0.0011937618255615234
Cipher tick time: 4 1140.063133239746
Plain tick time: 4 0.0010895729064941406
Cipher tick time: 5 1135.0852777957916
Plain tick time: 5 0.0008435249328613281
Cipher tick time: 6 1137.4729738235474
Plain tick time: 6 0.0008380413055419922
Cipher tick time: 7 1138.65757894516
Plain tick time: 7 0.0010046958923339844
Cipher tick time: 8 1137.8803730010986
Plain tick time: 8 0.001322031021118164
Cipher tick time: 9 1137.9697346687317
Plain tick time: 9 0.0008149147033691406
0.11772585793436544
