ideal,curve,encrypted_curve

0,0.13377906772871706,-1.9858030486184998e-12
0,9.861569192009648e-10,1.5169841587492002e-11
0,1.3857966367661156e-46,2.1282384459053422e-12
0,9.8408480045882e-05,2.6293911763019534e-12
0,4.958155954666126e-44,6.3079738305672345e-12
0,9.902272538123057e-107,8.370000540775015e-12
0,4.9866006836846834e-14,4.7572744585112104e-12
0,2.9919571702346273e-27,-9.03933403141942e-12
0,2.1487007184332268e-35,-4.945044553867272e-12
0,1.1650971874686323e-08,9.45339125193375e-12
0,3.682604369748083e-06,-5.296397388931836e-12
0,1.104910476198298e-19,6.8447159001509475e-12
0,8.273490483382551e-17,-3.7291390395236455e-12
0,0.0,5.912652347267094e-12
0,5.897031238625714e-31,-2.6482444027154285e-12
0,5.15002270248916e-15,-9.876959024096758e-12
0,2.652714878592623e-08,-9.086489322224705e-13
0,9.566899197137123e-15,-1.7670951043572914e-12
0,0.01660503416972562,1.5938668180548013e-11
0,4.916695023037747e-08,-1.0119610241317983e-11
0,1.755859033339587e-21,3.4516216031785404e-12
0,1.7621843586865521e-40,1.7318042044885792e-12
0,7.417374099765156e-08,4.0972063903461306e-12
0,1.104910476198298e-19,5.536801134011317e-12
0,3.993558978921697e-45,4.851799160155554e-12
0,7.881716531610599e-132,-7.048713602945607e-12
0,2.461854844592977e-18,-3.3597310526421026e-12
0,2.46185486037076e-18,-3.858487430043488e-12
0,1.2817423796857638e-26,-5.565856141195999e-12
0,1.619037074542897e-06,-2.9101366555379904e-12
0,0.037699399598615964,1.874422733722337e-12
0,8.334565958410393e-11,1.8673100090871372e-11
0,1.2903610734819815e-61,1.5782311492646622e-11
0,1.1650971874686323e-08,9.028693429230607e-12
0,4.704253294152208e-19,1.4391342581324715e-11
0,1.1650971874686323e-08,7.318129274086273e-12
0,9.8408480045882e-05,-6.947316750573119e-12
0,4.57853974676464e-18,-8.212954416283806e-12
0,6.189978714877863e-40,2.5168893933206174e-12
0,9.848765769239909e-24,1.1427061044874434e-11
